Hyper Real,主题1超真实
Photorealism,主题1摄影写实主义
Fantastic Realism,主题1梦幻现实主义
Classical Realism,主题1古典现实主义
Contemporary Realism,主题1当代现实主义
Surrealism,主题1超现实主义
Non Fiction,主题1纪实文学
Imagined,主题1想象中的
Imagination,主题1想象力
Fever Dream,主题1发烧梦
Daydreampunk,主题1白日梦朋克
Weirdcore,主题1堰芯
Otherworldly,主题1另一个世界
From Another Realm,主题1来自另一个王国
Lucid,主题1清醒的
Ethereality,主题1以太性
Déjà vu,主题1似曾相识
Abstraction,主题1抽象
Fantasy,主题1幻想
Dark Fantasy,主题1黑暗幻想
Illusion,主题2幻觉
Nonsense,主题2胡说
Intangible,主题2无形的
Visual Exaggeration,主题2视觉夸张
Exaggeration,主题2夸张
Retrowave,主题2逆行
Vintage,主题2复古
Cyberpunk,主题2赛博朋克
Nanopunk,主题2纳米粒子
Rusticcore,主题2Rusticcore公司
Rollerwave,主题2滚动波形
Pre Historic,主题2历史前期
Historic,主题2有历史意义的
Prehistoricore,主题2史前时期
Atompunk,主题2原子朋克
Jurassic,主题2侏罗纪
Ice Age,主题2冰河时期
Wild West,主题2狂野西部
Modern,主题2现代的
Modernismo,主题2现代主义
Futuristic,主题3未来主义的
Cassette Futurism,主题3卡带未来主义
Retro Futurism,主题3复古未来主义
Future Funk,主题3未来Funk
Afrofuturist,主题3非洲尿路炎
Extraterrestrial,主题3外星的
Invasion,主题3武装入侵
Sci fi,主题3科幻
Magic,主题3魔术
Psychic,主题3通灵的
Decopunk,主题3装饰朋克
Aetherpunk,主题3埃瑟朋克
Dragoncore,主题3德拉贡科尔
Mythpunk,主题3神话朋克
Fairy Folk,主题3民间精灵
Anime,主题3动漫
Cartoon,主题3卡通
Kawaii,主题3卡哇伊
Horror Anime,主题3恐怖动漫
Manga,主题3曼加
Marvel Comics,主题4漫威漫画
UwU,主题4UwU
Vampirella,主题4吸血鬼
Rococopunk,主题4洛可可朋克
Rustic,主题4乡村的
Raypunk,主题4射线朋克
Postcyberpunk,主题4邮编：
Antique,主题4古董
Nostalgiacore,主题4怀旧
Retro,主题4复古
Exaggerated,主题4夸张的
Visual Rhetoric,主题4视觉修辞
Immaterial,主题4非物质的
Impossible,主题4不可能的
Fantasy Map,主题4梦幻地图
Ethereal Fantasy,主题4以太幻想
Lyrical Abstraction,主题4抒情抽象
Abstract,主题4摘要
Anemoiacore,主题4银杉属
Ethereal,主题4空灵的
Wonderland,主题5仙境
Unworldly,主题5脱俗的
Worldly,主题5尘世的
Dreamcore,主题5Dreamcore公司
Dreampunk,主题5梦幻朋克
Dreamlike,主题5如梦如幻
Imaginative,主题5富有想象力的
Science Fiction,主题5科幻小说
Unrealistic,主题5不切实际
Surreal,主题5离奇的
New Realism,主题5新现实主义
Magic Realism,主题5魔幻现实主义
Realism,主题5现实主义
Photorealistic,主题5照片逼真
Anatomical Drawing,风格1解剖图
Caricature,风格1漫画
Assembly Drawing,风格1装配图
Cartographic,风格1制图
Children’s Drawing,风格1儿童绘画
Crosshatch,风格1交叉影线
Doodle,风格1涂鸦
Dot Art,风格1点艺术
Drawing,风格1绘画
Etch A Sketch Drawing,风格1蚀刻缩孔图
Figure Drawing,风格1图
Graphic Novel,风格1平面小说
Hand Drawn,风格1手绘
Hand Written,风格1手写
Illuminated Manuscript,风格1照明手稿
Illustrated Booklet,风格1插图小册子
Illustration,风格1插图
Line Art,风格1线条艺术
Masterpiece,风格1杰作
Pointillism,风格1点画主义
Sketch,风格2素描
Stipple,风格2点画
Storybook Illustration,风格2故事书插图
Visual Novel,风格2视觉小说
Whimsical Illustration,风格2怪诞的插图
Ballpoint Pen,风格2圆珠笔
Blackboard,风格2黑板
Calligraphy,风格2书法
Chalk,风格2粉笔
Charcoal Art,风格2木炭艺术
Colored Pencil,风格2彩色铅笔
Conductive Ink,风格2导电油墨
Conte,风格2孔特
Crayon,风格2蜡笔
Dry Erase Marker,风格2干式擦除标记
Flexographic Ink,风格2柔性版油墨
Fountain Pen Art,风格2喷泉笔艺术
Gel Pen,风格2凝胶笔
Graphite,风格2石墨
Grease Pen,风格2油笔
Grease Pencil,风格3油笔
India Ink,风格3印度油墨
Iron Gall Ink,风格3铁胆油墨
Ink,风格3墨水
Marker Art,风格3标记艺术
Pastel Art,风格3粉彩艺术
Pencil Art,风格3铅笔艺术
Viscosity Print,风格3粘度打印
Wet Erase Marker,风格3湿式擦除标记
Whiteboard,风格3白板
Airbrush,风格3空气刷
1980s Airbrush Art,风格320世纪80年代气刷艺术
Ancient Roman Painting,风格3古罗马绘画
Artwork,风格3艺术品
Blacklight Paint,风格3黑光漆
Brushwork,风格3刷子
Caravaggio Painting,风格3卡拉瓦乔绘画
Canvas,风格3帆布
Casein Paint,风格3酪蛋白涂料
Cave Art,风格3洞穴艺术
Chinese Painting,风格4中国画
Coffee Paint,风格4咖啡色油漆
Color Field Painting,风格4色域绘画
Detailed Painting,风格4细节涂装
Easter Egg,风格4复活节彩蛋
Dripping Paint,风格4滴水涂料
Egg Decorating,风格4鸡蛋装饰
Encaustic Painting,风格4蜡画
Faux Painting,风格4人造画
Fayum Portrait,风格4法尤姆肖像
