David Chipperfield
Norman Foster
Antoni Gaudi
Michael Graves
Zaha Hadid
Victor Horta
Toyo Ito
Rem Koolhaas
Daniel Libeskind
Richard Meier
Jean Nouvel
Renzo Piano
Eero Saarinen
Harry Seidler
Paolo Soleri
James Stirling
Kenzo Tange
Robert Venturi
Peter Zumthor
Frank Lloyd Wright
Tadao Ando
Alejandro Aravena
Ricardo Bofill
Vincent Callebaut
Le Corbusier
Buckminster Fuller
Frank Gehry
Walter Gropius
Steven Holld
Bjarke Ingels
Philip Johnson
Kengo Kuma
Adolf Loos
Oscar Niemeyer
Valerio Olgiati
Richard Rogers
Moshe Safdie
Alvaro Siza
Ettore Sottsass
Louis Sullivan
Bernard Tschumi
Otto Wagner
Ludwig Mies van der Rohe
