Contempt,表情1 不屑
Arrogant,表情1 傲慢
Sigh,表情1 感慨
Scared,表情1 惊吓
Nauseous,表情1 恶心
Dizzy,表情1 眩晕
Sweating,表情1 流汗
Sighing,表情1 叹气
Getting Angry,表情1 发火
Shivering,表情1 发抖
Cute,表情1 可爱
Silly Smile,表情1 傻笑
Victory,表情1 胜利
Failure,表情1 失败
Provocative,表情1 挑衅
Sympathy,表情1 同情
Calling,表情1 呼叫
Longing,表情1 渴望
Heartbroken,表情1 心碎
Injured,表情1 受伤
Neutral,表情2 中立
Excited,表情2 兴奋
Relaxed,表情2 放松
Thankful,表情2 感谢
Praise,表情2 赞扬
Annoyed,表情2 烦恼
Anticipation,表情2 期待
Determined,表情2 坚定
Afraid,表情2 害怕
Disdain,表情2 鄙视
Smile,表情2 微笑
Surprise,表情2 惊讶
Sad,表情2 伤心
Happy,表情2 开心
Angry,表情2 生气
Shy,表情2 害羞
Embarrassed,表情2 尴尬
Nervous,表情2 紧张
Relieved,表情2 宽慰
Confused,表情2 困惑
Helpless,表情3 无奈
Proud,表情3 得意
Doubtful,表情3 疑惑
Wronged,表情3 委屈
Bored,表情3 无聊
Comforted,表情3 安慰
Mocking,表情3 嘲笑
Side-eye,表情3 侧目
Blank,表情3 呆滞
Blink,表情3 眨眼
Laugh,表情3 大笑
Cry,表情3 哭泣
Thinking,表情3 思考
Displeased,表情3 不悦
Calm,表情3 冷静
Playful,表情3 调皮
Shocked,表情3 震惊
Scream,表情3 尖叫
Frustrated,表情3 抓狂
Crying with a smile,表情3 微笑着流泪
Laughing blankly,表情4 呆滞着笑
Satisfied,表情4 满意
Worried,表情4 担忧
Jealous,表情4 嫉妒
Tulip,花1 郁金香
Lotus,花1 莲花
Sunflower,花1 向日葵
Bluebell,花1 铃兰
Violet,花1 蓝紫罗兰
Purple Rose,花1 紫玫瑰
Lily,花1 百合
Daisy,花1 雏菊
Snowdrop,花1 雪花莲
African Daisy,花1 非洲菊
Marigold,花1 金盏花
Magnolia,花1 玉兰
Morning Glory,花1 牵牛花
